# LAK SVG but not including LAK numbers with commas in images/lak/svg
@label	LAK
@path	images/lak/svg
o0001800	LAK785.svg	LAK785
o0025786	LAK786.svg	LAK786
o0027619	LAK787.svg	LAK787
o0001790	LAK788.svg	LAK788
o0027617	LAK789.svg	LAK789
o0000443	LAK790.svg	LAK790
o0000165	LAK791.svg	LAK791
o0000475	LAK792.svg	LAK792
o0000529	LAK793.svg	LAK793
o0000178	LAK794.svg	LAK794
o0000087	LAK795.svg	LAK795
o0000848	LAK796.svg	LAK796
o0000087	LAK797.svg	LAK797
o0000603	LAK797.svg	LAK797
o0000607	LAK798.svg	LAK798
o0002643	LAK799.svg	LAK799
o0000846	LAK800.svg	LAK800
o0000299	LAK801.svg	LAK801
o0027557	LAK804.svg	LAK804
o0027559	LAK805.svg	LAK805
o0027561	LAK806.svg	LAK806
o0000561	LAK807.svg	LAK807
o0000562	LAK808.svg	LAK808
o0002827	LAK809.svg	LAK809
o0027651	LAK810.svg	LAK810
o0000419	LAK811.svg	LAK811
o0000420	LAK812.svg	LAK812
o0000490	LAK813.svg	LAK813
o0027504	LAK813.svg	LAK813
o0027657	LAK814.svg	LAK814
o0027584	LAK817.svg	LAK817
o0025858	LAK821.svg	LAK821
o0025674	LAK824.svg	LAK824
