|1(N57).AB2|	|1(N57).AB₂|
|LAGAB~axDU6~b|	|LAGAB~a×DU₆~b|
|LAGAB~axKAK~a|	|LAGAB~a×KAK~a|
|LAGAB~axKU6~a|	|LAGAB~a×KU₆~a|
|LAGAB~ax(KU6~a+KU6~a)|	|LAGAB~a×(KU₆~a+KU₆~a)|
|LAGAB~axKUSZU2~b|	|LAGAB~a×KUŠU₂~b|
|LAGAB~axLAGAB~a|	|LAGAB~a×LAGAB~a|
|LAGAB~axME~a|	|LAGAB~a×ME~a|
|LAGAB~axNUN~b|	|LAGAB~a×NUN~b|
|LAGAB~axPA~a|	|LAGAB~a×PA~a|
|LAGAB~axSIG7|	|LAGAB~a×SIG₇|
|LAGAB~axSI|	|LAGAB~a×SI|
|LAGAB~axSU~a|	|LAGAB~a×SU~a|
|LAGAB~axSZA|	|LAGAB~a×ŠA|
|LAGAB~axSZITA~a1|	|LAGAB~a×ŠITA~a1|
|LAGAB~axTI|	|LAGAB~a×TI|
|LAGAB~axU4|	|LAGAB~a×U₄|
|LAGAB~axUB|	|LAGAB~a×UB|
|LAGAB~axX|	|LAGAB~a×X|
|LAGAB~axZATU753|	|LAGAB~a×ZATU753|
LAGAB~b	LAGAB~b
|LAGAB~bx1(N01)|	|LAGAB~b×1(N01)|
|LAGAB~bxBANSZUR~a|	|LAGAB~b×BANŠUR~a|
|LAGAB~bxGA'AR~a1|	|LAGAB~b×GAʾAR~a1|
|LAGAB~bxHI|	|LAGAB~b×HI|
|LAGAB~bxKUR~e|	|LAGAB~b×KUR~e|
|LAGAB~bxLAGAB~b|	|LAGAB~b×LAGAB~b|
|LAGAB~bxPA~a|	|LAGAB~b×PA~a|
|LAGAB~bxSI|	|LAGAB~b×SI|
|LAGAB~bxSUH3|	|LAGAB~b×SUH₃|
|LAGAB~bxSZITA~c|	|LAGAB~b×ŠITA~c|
|LAGAB~bxU4|	|LAGAB~b×U₄|
|LAGAB~bxX|	|LAGAB~b×X|
LAGAR~a	LAGAR~a
LAGAR~a@r	LAGAR~a@r
LAGAR~b1	LAGAR~b1
LAGAR~b2	LAGAR~b2
LAGAR~c	LAGAR~c
LAHTAN2	LAHTAN₂
LAK025	LAK025
LAK050	LAK050
LAK172	LAK172
LAK251	LAK251
LAK350	LAK350
LAK777	LAK777
LAL2~a	LAL₂~a
|LAL2~axEZEN~a|	|LAL₂~a×EZEN~a|
|LAL2~axNIM~b2|	|LAL₂~a×NIM~b2|
LAL2~b	LAL₂~b
LAL3~a	LAL₃~a
LAL3~b	LAL₃~b
LAL3~c	LAL₃~c
LAM~a	LAM~a
LAM~b	LAM~b
LAM~b@r	LAM~b@r
LAM~b@s	LAM~b@s
LAM~b@t	LAM~b@t
LAM~c	LAM~c
LI	LI
LISZ	LIŠ
LU2	LU₂
LU2@t	LU₂@t
|LU2xGESZTU~c3|	|LU₂×GEŠTU~c3|
LUGAL	LUGAL
LUM	LUM
MA2	MA₂
MAGUR~a	MAGUR~a
MAGUR~b	MAGUR~b
MAH~a	MAH~a
|MAH~axAB2|	|MAH~a×AB₂|
|MAH~axGUKKAL~a|	|MAH~a×GUKKAL~a|
|MAH~axKU6~a|	|MAH~a×KU₆~a|
|MAH~axMASZ|	|MAH~a×MAŠ|
|MAH~axNA~a|	|MAH~a×NA~a|
|MAH~ax(SILA3~axUMBIN~a)|	|MAH~a×(SILA₃~a×UMBIN~a)|
|MAH~axTUG2~a|	|MAH~a×TUG₂~a|
|MAH~axUD5~a|	|MAH~a×UD₅~a|
|MAH~axUDU~a|	|MAH~a×UDU~a|
|MAH~axUR~a|	|MAH~a×UR~a|
|MAH~axUTUA~a|	|MAH~a×UTUA~a|
|MAH~axX|	|MAH~a×X|
|MAH~axZATU659|	|MAH~a×ZATU659|
MAH~b	MAH~b
|MAH~bxKU6~a|	|MAH~b×KU₆~a|
|MAH~bxMASZ|	|MAH~b×MAŠ|
|MAH~bxNA~a|	|MAH~b×NA~a|
|MAH~bxSAL|	|MAH~b×SAL|
MA	MA
MAR~a	MAR~a
MAR~a@t	MAR~a@t
MAR~b	MAR~b
|MAR~bx(LAGAB~b.SZE3)|	|MAR~b×(LAGAB~b.ŠE₃)|
|MAR~bxSZE~a|	|MAR~b×ŠE~a|
|MAR~bxX|	|MAR~b×X|
MASZ2@g	MAŠ₂@g
MASZ2	MAŠ₂
MASZ	MAŠ
|MAx1(N58)|	|MA×1(N58)|
|MAx2(N57)|	|MA×2(N57)|
|MAxA|	|MA×A|
|MAxMA|	|MA×MA|
|MAxX|	|MA×X|
ME3	ME₃
ME~a	ME~a
ME~b	ME~b
MEN~a	MEN~a
MEN~b	MEN~b
MES	MES
MIR~a	MIR~a
MIR~b	MIR~b
MUD3~a@g	MUD₃~a@g
|MUD3~a@gxGU|	|MUD₃~a@g×GU|
MUD3~a	MUD₃~a
MUD3~b	MUD₃~b
MUD3~c	MUD₃~c
MUD3~d	MUD₃~d
MUD	MUD
MU	MU
MUL	MUL
MUN~a1	MUN~a1
MUN~a2	MUN~a2
MUN~a3	MUN~a3
MUN~a4	MUN~a4
MUN~b	MUN~b
MUNSZUB~a	MUNŠUB~a
MUNSZUB~b	MUNŠUB~b
MUNU3	MUNU₃
MURUB2	MURUB₂
MUSZ3~a@g	MUŠ₃~a@g
MUSZ3~a	MUŠ₃~a
MUSZ3~b	MUŠ₃~b
MUSZEN	MUŠEN
|MUSZEN.UR3~b2|	|MUŠEN.UR₃~b2|
|MUSZENx1(N57)|	|MUŠEN×1(N57)|
|MUSZENx2(N57)|	|MUŠEN×2(N57)|
|MUSZENx3(N57)|	|MUŠEN×3(N57)|
|MUSZENxPAP~a|	|MUŠEN×PAP~a|
|MUSZENxX|	|MUŠEN×X|
MUSZ	MUŠ
NA2~a	NA₂~a
NA2~b1	NA₂~b1
NA2~b2	NA₂~b2
NA~a	NA~a
NA~b	NA~b
NAB	NAB
NA~c	NA~c
NA~d	NA~d
NAGA~a	NAGA~a
|NAGA~axTAK4~a|	|NAGA~a×TAK₄~a|
NAGA~b	NAGA~b
NAGAR~a	NAGAR~a
NAGAR~b	NAGAR~b
NAM2@g	NAM₂@g
NAM2	NAM₂
NAM2@t	NAM₂@t
|NAM2x1(N01)|	|NAM₂×1(N01)|
NAM~a	NAM~a
NAM~b	NAM~b
NAM~c	NAM~c
NAM~d	NAM~d
NAMESZDA	NAMEŠDA
NANNA~a	NANNA~a
NANNA~b	NANNA~b
NANSZE~a	NANŠE~a
NANSZE~b	NANŠE~b
NAR	NAR
NE~a	NE~a
NE~b	NE~b
NE~c	NE~c
NE~d	NE~d
NERGAL~x	NERGAL~x
NESAG2~a	NESAG₂~a
NESAG2~b	NESAG₂~b
NESAG2~b@t	NESAG₂~b@t
NI2	NI₂
NI~a@g	NI~a@g
NI~a	NI~a
|NI~a.RU|	|NI~a.RU|
|NI~ax1(N57)|	|NI~a×1(N57)|
NI~b	NI~b
|NI~bx4(N57)|	|NI~b×4(N57)|
|NI~bxX|	|NI~b×X|
NIGIN	NIGIN
NIM~a	NIM~a
NIM~b1	NIM~b1
NIM~b2	NIM~b2
NIM~b3	NIM~b3
NIMGIR	NIMGIR
NINDA2	NINDA₂
|NINDA2x1(N01)|	|NINDA₂×1(N01)|
|NINDA2x1(N06)|	|NINDA₂×1(N06)|
|NINDA2x1(N08)|	|NINDA₂×1(N08)|
|NINDA2x2(N01)|	|NINDA₂×2(N01)|
|NINDA2x(AN.HI)|	|NINDA₂×(AN.HI)|
|NINDA2xAN|	|NINDA₂×AN|
|NINDA2x(AN.ME~a)|	|NINDA₂×(AN.ME~a)|
|NINDA2x(AN.X)|	|NINDA₂×(AN.X)|
|NINDA2xBA|	|NINDA₂×BA|
|NINDA2xEZEN~b|	|NINDA₂×EZEN~b|
|NINDA2xGA'AR~a1|	|NINDA₂×GAʾAR~a1|
|NINDA2xGAR|	|NINDA₂×GAR|
|NINDA2x(GISZ.DAR~a)|	|NINDA₂×(GIŠ.DAR~a)|
|NINDA2xGISZ|	|NINDA₂×GIŠ|
|NINDA2xGU4|	|NINDA₂×GU₄|
|NINDA2xGUDU4|	|NINDA₂×GUDU₄|
|NINDA2x(HI.AN.ME~a)|	|NINDA₂×(HI.AN.ME~a)|
|NINDA2x(HI@g~a.1(N06))|	|NINDA₂×(HI@g~a.1(N06))|
|NINDA2xHI|	|NINDA₂×HI|
|NINDA2x(HI+ME~a)|	|NINDA₂×(HI.ME~a)|
|NINDA2x(HI.X)|	|NINDA₂×(HI.X)|
|NINDA2xKASZ~b|	|NINDA₂×KAŠ~b|
|NINDA2xMAR~b|	|NINDA₂×MAR~b|
|NINDA2xNE~a|	|NINDA₂×NE~a|
|NINDA2xSZIM~a|	|NINDA₂×ŠIM~a|
|NINDA2xU4|	|NINDA₂×U₄|
|NINDA2x(U4.X)|	|NINDA₂×(U₄.X)|
|NINDA2x((UDU~axTAR)~a)|	|NINDA₂×((UDU~a×TAR)~a)|
|NINDA2x((UDU~axTAR)~b)|	|NINDA₂×((UDU~a×TAR)~b)|
|NINDA2xX|	|NINDA₂×X|
|NINDA2x(X.MASZ)|	|NINDA₂×(X.MAŠ)|
|NINDA2x(ZATU659x1(N01))|	|NINDA₂×(ZATU659×1(N01))|
NIN	NIN
NINKUM	NINKUM
NINLIL	NINLIL
NIR~a	NIR~a
|NIR~axAN|	|NIR~a×AN|
NIR~b	NIR~b
NU11	NU₁₁
|NU11&NU11|	|NU₁₁&NU₁₁|
NU11@t	NU₁₁@t
NU@g	NU@g
NU	NU
NUMUN2	NUMUN₂
NUMUN	NUMUN
|NUN~a+A|	|NUN~a+A|
|NUN~a+EN~a|	|NUN~a+EN~a|
|NUN~a+EN~b|	|NUN~a+EN~b|
|NUN~a+EN~d|	|NUN~a+EN~d|
NUN~a	NUN~a
|NUN~a+NAM2|	|NUN~a+NAM₂|
|NUN~b+EN~a|	|NUN~b+EN~a|
NUN~b	NUN~b
NUN~c	NUN~c
NUN~d	NUN~d
NUNUZ~a0	NUNUZ~a0
NUNUZ~a1	NUNUZ~a1
NUNUZ~a1@t	NUNUZ~a1@t
NUNUZ~a2	NUNUZ~a2
NUNUZ~b1	NUNUZ~b1
NUNUZ~b2	NUNUZ~b2
NUNUZ~c	NUNUZ~c
PA3	PA₃
PA~a	PA~a
PA~b	PA~b
PAD~a	PAD~a
PAD~b	PAD~b
PAP~a	PAP~a
PAP~a@t	PAP~a@t
PAP~b	PAP~b
PIRIG~a1	PIRIG~a1
PIRIG~a2	PIRIG~a2
PIRIG~a3	PIRIG~a3
PIRIG~b1	PIRIG~b1
|PIRIG~b1xUR2|	|PIRIG~b1×UR₂|
PIRIG~b2	PIRIG~b2
PU2	PU₂
RAD~a@g	RAD~a@g
RAD~a	RAD~a
RAD~a@t	RAD~a@t
RAD~b	RAD~b
RA	RA
RI8~a	RI₈~a
RI8~b	RI₈~b
RI	RI
RI~x	RI~x
RU	RU
RU@t	RU@t
SA~a	SA~a
SA~c	SA~c
SAG@g	SAG@g
SAG	SAG
SAG@n	SAG@n
SAGSZU	SAGŠU
|SAGx1(N14)|	|SAG×1(N14)|
|SAGxGESZTU~a|	|SAG×GEŠTU~a|
|SAGxGESZTU~b|	|SAG×GEŠTU~b|
|SAGxGESZTU~c|	|SAG×GEŠTU~c|
|SAGxLAM~c|	|SAG×LAM~c|
|SAGxMA|	|SAG×MA|
|SAGxSAR~a|	|SAG×SAR~a|
SAL	SAL
|SAL.KUR~a|	|SAL.KUR~a|
|SAL.LAM~b|	|SAL.LAM~b|
|SAL.SZU2|	|SAL.ŠU₂|
|SALx1(N58)|	|SAL×1(N58)|
SANGA~a	SANGA~a
SANGA~b	SANGA~b
SANGA~c	SANGA~c
SAR~a	SAR~a
|SAR~axSZE~a|	|SAR~a×ŠE~a|
SAR~b	SAR~b
SAR~c	SAR~c
SI4~a	SI₄~a
SI4~b	SI₄~b
SI4~c	SI₄~c
SI4~d	SI₄~d
SI4~f	SI₄~f
SIG2~a1	SIG₂~a1
SIG2~a2	SIG₂~a2
SIG2~a3	SIG₂~a3
SIG2~a4	SIG₂~a4
SIG2~b	SIG₂~b
|SIG2~b.SIG2~b|	|SIG₂~b.SIG₂~b|
|SIG2~bx1(N14)|	|SIG₂~b×1(N14)|
SIG2~c1	SIG₂~c1
SIG2~c2	SIG₂~c2
SIG2~d1	SIG₂~d1
SIG2~d2	SIG₂~d2
SIG2~d3	SIG₂~d3
SIG2~d4	SIG₂~d4
SIG2~e	SIG₂~e
SIG4	SIG₄
SIG7	SIG₇
SIG@g	SIG@g
SIG	SIG
|SIGx1(N57)|	|SIG×1(N57)|
SI	SI
SIKIL	SIKIL
SILA3~a	SILA₃~a
|SILA3~ax1(N57)|	|SILA₃~a×1(N57)|
|SILA3~ax1(N58)|	|SILA₃~a×1(N58)|
|SILA3~axA|	|SILA₃~a×A|
|SILA3~axAMAR|	|SILA₃~a×AMAR|
|SILA3~axDUG~a|	|SILA₃~a×DUG~a|
|SILA3~axDUG~b|	|SILA₃~a×DUG~b|
|SILA3~axGA~a|	|SILA₃~a×GA~a|
|SILA3~axGARA2~a|	|SILA₃~a×GARA₂~a|
|SILA3~axGESZTU~a|	|SILA₃~a×GEŠTU~a|
|SILA3~axGESZTU~c3|	|SILA₃~a×GEŠTU~c3|
|SILA3~axGESZTU~c5|	|SILA₃~a×GEŠTU~c5|
|SILA3~axHASZHUR|	|SILA₃~a×HAŠHUR|
|SILA3~axHI@g~a|	|SILA₃~a×HI@g~a|
|SILA3~axHI|	|SILA₃~a×HI|
|SILA3~axIB~a|	|SILA₃~a×IB~a|
|SILA3~axKASZ~a|	|SILA₃~a×KAŠ~a|
|SILA3~axKASZ~c|	|SILA₃~a×KAŠ~c|
|SILA3~axKASZ~d|	|SILA₃~a×KAŠ~d|
|SILA3~axKU6~a|	|SILA₃~a×KU₆~a|
|SILA3~axKUR~a|	|SILA₃~a×KUR~a|
|SILA3~axMA|	|SILA₃~a×MA|
|SILA3~axMASZ|	|SILA₃~a×MAŠ|
|SILA3~axNAGA~a|	|SILA₃~a×NAGA~a|
|SILA3~axNI~a|	|SILA₃~a×NI~a|
|SILA3~axNUN~b|	|SILA₃~a×NUN~b|
|SILA3~axSUHUR|	|SILA₃~a×SUHUR|
|SILA3~axSUM~a|	|SILA₃~a×SUM~a|
|SILA3~axSUM~b|	|SILA₃~a×SUM~b|
|SILA3~axSZE~a|	|SILA₃~a×ŠE~a|
|SILA3~axSZE~a@t|	|SILA₃~a×ŠE~a@t|
|SILA3~axSZU2|	|SILA₃~a×ŠU₂|
|SILA3~axSZU|	|SILA₃~a×ŠU|
|SILA3~axX|	|SILA₃~a×X|
|SILA3~axZATU629|	|SILA₃~a×ZATU629|
|SILA3~axZATU646|	|SILA₃~a×ZATU646|
|SILA3~ax(ZATU659.TU~c)|	|SILA₃~a×(ZATU659.TU~c)|
SILA3~b	SILA₃~b
|SILA3~bxDUG~a|	|SILA₃~b×DUG~a|
|SILA3~bxGUG2|	|SILA₃~b×GUG₂|
|SILA3~bxNAGA~b|	|SILA₃~b×NAGA~b|
|SILA3~bxNI~a|	|SILA₃~b×NI~a|
|SILA3~bxNI~b|	|SILA₃~b×NI~b|
SILA3~c	SILA₃~c
|SILA3~cxSZU|	|SILA₃~c×ŠU|
|SILA3~cxZATU687|	|SILA₃~c×ZATU687|
|SILA3~dxNI~a|	|SILA₃~d×NI~a|
SILA4~a	SILA₄~a
SILA4~b	SILA₄~b
SILA4~c	SILA₄~c
SILA4~d	SILA₄~d
SILANITA	SILANITA
SIMUG	SIMUG
SIPA	SIPA
|SIxGU4|	|SI×GU₄|
|SIxSZE3|	|SI×ŠE₃|
SU3	SU₃
SU~a	SU~a
|SU~ax1(N58)|	|SU~a×1(N58)|
SU~b	SU~b
SUG5	SUG₅
SUG	SUG
SUH3	SUH₃
SUHUR@g	SUHUR@g
SUHUR	SUHUR
SUHUR@n	SUHUR@n
SUKKAL	SUKKAL
SUKUD@g~a	SUKUD@g~a
SUKUD@g~b	SUKUD@g~b
SUKUD@g~c	SUKUD@g~c
SUKUD@g~d	SUKUD@g~d
SUKUD	SUKUD
|(SUKUD+SUKUD)~a|	|(SUKUD+SUKUD)~a|
|(SUKUD+SUKUD)~b|	|(SUKUD+SUKUD)~b|
|(SUKUD+SUKUD)~c|	|(SUKUD+SUKUD)~c|
|(SUKUD+SUKUD)~d|	|(SUKUD+SUKUD)~d|
SUM~a	SUM~a
SUMASZ	SUMAŠ
SUM~a@t	SUM~a@t
SUM~b	SUM~b
SUR	SUR
SUSA	SUSA
SZA3~a1	ŠA₃~a1
SZA3~a2	ŠA₃~a2
SZA3~b	ŠA₃~b
SZA3~c	ŠA₃~c
SZA3~d	ŠA₃~d
SZAB~a	ŠAB~a
SZAB~b	ŠAB~b
SZAGAN	ŠAGAN
SZAGINA	ŠAGINA
SZA@g	ŠA@g
SZAH2~a	ŠAH₂~a
SZAH2~b	ŠAH₂~b
SZAH2~c	ŠAH₂~c
SZA	ŠA
SZAKIR~a	ŠAKIR~a
SZAKIR~b	ŠAKIR~b
SZAKIR~c	ŠAKIR~c
SZAM2	ŠAM₂
SZANDANA~a	ŠANDANA~a
SZANDANA~b	ŠANDANA~b
|(SZAxHI@g~a)~a|	|(ŠA×HI@g~a)~a|
|(SZAxHI@g~a)~b|	|(ŠA×HI@g~a)~b|
SZE3	ŠE₃
SZE3@t	ŠE₃@t
SZE~a	ŠE~a
|SZE~a.KIN2~c|	|ŠE~a.KIN₂~c|
|SZE~a.NAM2|	|ŠE~a.NAM₂|
|SZE~a&SZE~a|	|ŠE~a&ŠE~a|
SZE~a@t	ŠE~a@t
SZE~b	ŠE~b
SZE~c	ŠE~c
SZEG9	ŠEG₉
SZELU	ŠELU
SZEN~a	ŠEN~a
SZEN~b	ŠEN~b
SZEN~c	ŠEN~c
SZEN~c@t	ŠEN~c@t
SZEN~d	ŠEN~d
|SZEN~dxA|	|ŠEN~d×A|
SZEN~e	ŠEN~e
SZENNUR~a	ŠENNUR~a
SZENNUR~b	ŠENNUR~b
SZESZ~a	ŠEŠ~a
SZESZ~b	ŠEŠ~b
SZIDIM	ŠIDIM
SZIDIM@t	ŠIDIM@t
SZIM~a	ŠIM~a
SZIM~b	ŠIM~b
SZIR~a	ŠIR~a
SZIR~b	ŠIR~b
SZITA~a1	ŠITA~a1
|SZITA~a1x1(N06)|	|ŠITA~a1×1(N06)|
|SZITA~a1xKAK~a|	|ŠITA~a1×KAK~a|
|SZITA~a1xSZU2|	|ŠITA~a1×ŠU₂|
|SZITA~a1xSZU|	|ŠITA~a1×ŠU|
|SZITA~a1xUDU~a|	|ŠITA~a1×UDU~a|
SZITA~a2	ŠITA~a2
SZITA~a3	ŠITA~a3
SZITA~b1	ŠITA~b1
|SZITA~b1xHI@g~a|	|ŠITA~b1×HI@g~a|
SZITA~b2	ŠITA~b2
SZITA~b3	ŠITA~b3
|SZITA~b3xNAM2|	|ŠITA~b3×NAM₂|
SZITA~c	ŠITA~c
SZITA@g~a	ŠITA@g~a
|SZITA@g~ax1(N04)|	|ŠITA@g~a×1(N04)|
|SZITA@g~ax1(N06)|	|ŠITA@g~a×1(N06)|
SZITA@g~b	ŠITA@g~b
SZU12	ŠU₁₂
|SZU2.1(N02)|	|ŠU₂.1(N02)|
|SZU2.2(N57)|	|ŠU₂.2(N57)|
|SZU2.AN|	|ŠU₂.AN|
|SZU2.E2~a|	|ŠU₂.E₂~a|
|SZU2.E2~b|	|ŠU₂.E₂~b|
|SZU2.EN~a|	|ŠU₂.EN~a|
|SZU2.EN~b|	|ŠU₂.EN~b|
|SZU2.GISZ|	|ŠU₂.GIŠ|
|SZU2.((HI+1(N57))+(HI+1(N57)))|	|ŠU₂.((HI+1(N57))+(HI+1(N57)))|
SZU2	ŠU₂
|SZU2.URI3~a|	|ŠU₂.URI₃~a|
SZUBUR	ŠUBUR
SZU@g	ŠU@g
SZU	ŠU
SZUM	ŠUM
SZUR2~a	ŠUR₂~a
SZUR2~b	ŠUR₂~b
SZURUPPAK~a	ŠURUPPAK~a
SZURUPPAK~b	ŠURUPPAK~b
SZURUPPAK~c	ŠURUPPAK~c
SZU@s	ŠU@s
|SZU&SZU|	|ŠU&ŠU|
|SZUx1(N58)|	|ŠU×1(N58)|
TA~a	TA~a
TA~b	TA~b
TA~c	TA~c
TA~d	TA~d
|TA~dxMASZ|	|TA~d×MAŠ|
TA~e	TA~e
TA~f	TA~f
TAG~a1	TAG~a1
TAG~a1@t	TAG~a1@t
TAG~a2	TAG~a2
TAG~a3	TAG~a3
TAG~a4	TAG~a4
TAG~b	TAG~b
TAG~c	TAG~c
TAG~d	TAG~d
TAK4~a	TAK₄~a
TAK4~a@n	TAK₄~a@n
TAK4~c	TAK₄~c
TAR~a	TAR~a
TAR~d	TAR~d
TE	TE
TIDNUM	TIDNUM
TI@g	TI@g
TI	TI
TILLA2	TILLA₂
TI@r	TI@r
TI@t	TI@t
TU~a	TU~a
TU~b	TU~b
TU~c	TU~c
|TUG2~a.(BAD&BAD)|	|TUG₂~a.(BAD&BAD)|
TUG2~a@g	TUG₂~a@g
TUG2~a	TUG₂~a
TUG2~b	TUG₂~b
TUG2~c	TUG₂~c
TUG2~d	TUG₂~d
TUM~a@g	TUM~a@g
TUM~a	TUM~a
TUM~b	TUM~b
TUM~c	TUM~c
TUM~d	TUM~d
TUN3~a	TUN₃~a
TUN3~b	TUN₃~b
TUN3~c	TUN₃~c
TUR3~a	TUR₃~a
TUR3~a@n	TUR₃~a@n
TUR3~b	TUR₃~b
|TUR3~bxTAK4~a|	|TUR₃~b×TAK₄~a|
TUR3~c	TUR₃~c
TUR@g	TUR@g
TUR	TUR
|TURxX|	|TUR×X|
U2~a	U₂~a
U2~b	U₂~b
U2~c	U₂~c
|U4.1(N08)|	|U₄.1(N08)|
|U4.(1(N14).3(N08))|	|U₄.(1(N14).3(N08))|
|U4.(1(N14).4(N08))|	|U₄.(1(N14).4(N08))|
|U4.(1(N14).5(N08))|	|U₄.(1(N14).5(N08))|
|U4.(1(N14).8(N08))|	|U₄.(1(N14).8(N08))|
|U4.1(N14)|	|U₄.1(N14)|
|U4.2(N08)|	|U₄.2(N08)|
|U4.2(N14)|	|U₄.2(N14)|
|U4.3(N08)|	|U₄.3(N08)|
|U4.4(N08)|	|U₄.4(N08)|
|U4.5(N08)|	|U₄.5(N08)|
|U4.6(N08)|	|U₄.6(N08)|
|U4.7(N08)|	|U₄.7(N08)|
|U4.8(N08)|	|U₄.8(N08)|
U4	U₄
|U4.SZU2|	|U₄.ŠU₂|
U4@t	U₄@t
|U4x10(N57)|	|U₄×10(N57)|
|U4x1(N01).5(N08)|	|U₄×1(N01).5(N08)|
|U4x1(N01)F|	|U₄×1(N01)F|
|U4x1(N01)|	|U₄×1(N01)|
|U4x(1(N14).2(N01))|	|U₄×(1(N14).2(N01))|
|U4x(1(N14).4(N01))|	|U₄×(1(N14).4(N01))|
|U4x(1(N14).8(N01))|	|U₄×(1(N14).8(N01))|
|U4x1(N14)|	|U₄×1(N14)|
|U4x1(N57)|	|U₄×1(N57)|
|U4x1(N58)@t|	|U₄×1(N58)@t|
|U4x2(N01).(2(N14).1(N08))|	|U₄×2(N01).(2(N14).1(N08))|
|U4x2(N01).2(N14)|	|U₄×2(N01).2(N14)|
|U4x2(N01)|	|U₄×2(N01)|
|U4x2(N01).X|	|U₄×2(N01).X|
|U4x(2(N14).4(N01))|	|U₄×(2(N14).4(N01))|
|U4x2(N14)|	|U₄×2(N14)|
|U4x2(N57)|	|U₄×2(N57)|
|U4x3(N01).3(N08)|	|U₄×3(N01).3(N08)|
|U4x3(N01)|	|U₄×3(N01)|
|U4x(3(N14).2(N01))|	|U₄×(3(N14).2(N01))|
|U4x(3(N14).7(N01))|	|U₄×(3(N14).7(N01))|
|U4x3(N57)|	|U₄×3(N57)|
|U4x4(N01).2(N14)|	|U₄×4(N01).2(N14)|
|U4x4(N01)|	|U₄×4(N01)|
|U4x4(N57)|	|U₄×4(N57)|
|U4x5(N01).1(N14)|	|U₄×5(N01).1(N14)|
|U4x5(N01)|	|U₄×5(N01)|
|U4x5(N57)|	|U₄×5(N57)|
|U4x6(N01)|	|U₄×6(N01)|
|U4x6(N57)|	|U₄×6(N57)|
|U4x7(N57)|	|U₄×7(N57)|
|U4x8(N01)|	|U₄×8(N01)|
|U4x8(N01).X|	|U₄×8(N01).X|
|U4x8(N57)|	|U₄×8(N57)|
|U4x(X+2(N01))|	|U₄×(X+2(N01))|
|U4xX|	|U₄×X|
|U4x(X(N01))|	|U₄×(X(N01))|
U8	U₈
|(U8xTAR)~b|	|(U₈×TAR)~b|
UBI~a	UBI~a
UBI~c	UBI~c
UB	UB
UD5~a@g	UD₅~a@g
UD5~a	UD₅~a
UD5~b	UD₅~b
UD5~c	UD₅~c
UDU~a	UDU~a
|(UDU~axTAR)~a|	|(UDU~a×TAR)~a|
|(UDU~axTAR)~b|	|(UDU~a×TAR)~b|
UDU~b	UDU~b
UDU~c	UDU~c
UDUNITA~a	UDUNITA~a
UDUNITA~b	UDUNITA~b
UDUNITA~c	UDUNITA~c
UET2_405	BAU405
UH3~a	UH₃~a
UH3~a@t	UH₃~a@t
UH3~b	UH₃~b
UH	UH
UKKIN~a	UKKIN~a
UKKIN~b	UKKIN~b
|UKKIN~bx2(N01)|	|UKKIN~b×2(N01)|
|UKKIN~bx3(N01)|	|UKKIN~b×3(N01)|
|UKKIN~bx5(N01)|	|UKKIN~b×5(N01)|
|UKKIN~bx(DIN.1(N01))|	|UKKIN~b×(DIN.1(N01))|
|UKKIN~bxDIN|	|UKKIN~b×DIN|
|UKKIN~bxDUG~a|	|UKKIN~b×DUG~a|
|UKKIN~bxHI@g~a|	|UKKIN~b×HI@g~a|
|UKKIN~bxNI~a|	|UKKIN~b×NI~a|
|UKKIN~bxX|	|UKKIN~b×X|
UKKIN~c	UKKIN~c
UMBIN~a	UMBIN~a
UMBIN~b1	UMBIN~b1
UMBIN~b2	UMBIN~b2
UMBIN~c	UMBIN~c
UMUN2	UMUN₂
UNUG~a	UNUG~a
UNUG~a@s	UNUG~a@s
|UNUG~axA@t|	|UNUG~a×A@t|
UNUG~b	UNUG~b
UNUG~c	UNUG~c
UR2	UR₂
|UR2x1(N57)|	|UR₂×1(N57)|
|UR2xTAR|	|UR₂×TAR|
UR3~a1	UR₃~a1
UR3~a2	UR₃~a2
UR3~a3	UR₃~a3
UR3~b1	UR₃~b1
|UR3~b1xMASZ|	|UR₃~b1×MAŠ|
UR3~b2	UR₃~b2
UR4~a	UR₄~a
UR4~b	UR₄~b
UR4~c	UR₄~c
UR5~a	UR₅~a
UR5~b	UR₅~b
UR~a@g	UR~a@g
UR~a	UR~a
|UR~axKAR2|	|UR~a×KAR₂|
UR~b	UR~b
UR~c	UR~c
URI2	URI₂
|URI3~a+IB~a|	|URI₃~a+IB~a|
URI3~a	URI₃~a
URI3~b	URI₃~b
URI5	URI₅
URI	URI
URU~a1	URU~a1
URU~a1@n	URU~a1@n
|URU~a1x1(N57)|	|URU~a1×1(N57)|
|URU~a1x2(N57)|	|URU~a1×2(N57)|
|URU~a1xA|	|URU~a1×A|
|URU~a1xAMAR|	|URU~a1×AMAR|
|URU~a1xGU4|	|URU~a1×GU₄|
|URU~a1xHI@g~a|	|URU~a1×HI@g~a|
|URU~a1xNIMGIR|	|URU~a1×NIMGIR|
|URU~a1xU4|	|URU~a1×U₄|
|URU~a1xX|	|URU~a1×X|
URU~a2	URU~a2
|URU~a2x1(N58)|	|URU~a2×1(N58)|
|URU~a3xKALAM~a|	|URU~a3×KALAM~a|
URU~b1	URU~b1
URU~b2	URU~b2
URU~c	URU~c
URUDU~a	URUDU~a
URUDU~c	URUDU~c
URUDU~d	URUDU~d
