arch-23u	arch-16u
GA₂~a1×SUHUR	|GA₂~a1×SUHUR|
GA₂~a1×SUKUD	|GA₂~a1×SUKUD|
GA₂~a1×SUMAŠ	|GA₂~a1×SUMAŠ|
GA₂~a1×SU~a	|GA₂~a1×SU~a|
GA₂~a1×TI	|GA₂~a1×TI|
GA₂~a1×U₄	|GA₂~a1×U₄|
GA₂~a1×X	|GA₂~a1×X|
GA₂~a1×ŠA	|GA₂~a1×ŠA|
GA₂~a2	GA₂~a2
GA₂~a2×(GU₄.ŠE₃)	|GA₂~a2×(GU₄.ŠE₃)|
GA₂~a2×3(N57)	|GA₂~a2×3(N57)|
GA₂~a2×GU₄	|GA₂~a2×GU₄|
GA₂~a2×NIM~b1	|GA₂~a2×NIM~b1|
GA₂~a2×NI~a	|GA₂~a2×NI~a|
GA₂~a2×NI~b	|GA₂~a2×NI~b|
GA₂~a2×SUHUR	|GA₂~a2×SUHUR|
GA₂~a2×X	|GA₂~a2×X|
GA₂~a2×ŠE₃	|GA₂~a2×ŠE₃|
GA₂~a3	GA₂~a3
GA₂~a3×X	|GA₂~a3×X|
GA₂~a4	GA₂~a4
GA₂~b	GA₂~b
GA₂~b×DUB~a	|GA₂~b×DUB~a|
GA₂~b×DUB~b	|GA₂~b×DUB~b|
GA₂~b×KU₃~a	|GA₂~b×KU₃~a|
GA₂~b×ZATU659	|GA₂~b×ZATU659|
GA₂~c	GA₂~c
GEŠTIN~a	GEŠTIN~a
GEŠTIN~c	GEŠTIN~c
GEŠTIN~c×X	|GEŠTIN~c×X|
GEŠTU~a	GEŠTU~a
GEŠTU~a×ŠE~a@t	|GEŠTU~a×ŠE~a@t|
GEŠTU~b	GEŠTU~b
GEŠTU~c3	GEŠTU~c3
GEŠTU~c5	GEŠTU~c5
GI	GI
GI&GI	|GI&GI|
GI&GI&GI	|GI&GI&GI|
GI@t	GI@t
GIBIL	GIBIL
GIBIL@t	GIBIL@t
GIBIL₆	GIBIL₆
GIG	GIG
GIL	GIL
GIR~a	GIR~a
GIR~a.KU₆~a	|GIR~a.KU₆~a|
GIR~b	GIR~b
GIR~b.GIR~b	|GIR~b.GIR~b|
GIR~c	GIR~c
GIR~d	GIR~d
GIR₂~a	GIR₂~a
GIR₂~b	GIR₂~b
GIR₃@g~a	GIR₃@g~a
GIR₃@g~b	GIR₃@g~b
GIR₃@g~c	GIR₃@g~c
GIR₃~a	GIR₃~a
GIR₃~a×ŠE~b	|GIR₃~a×ŠE~b|
GIR₃~b	GIR₃~b
GIR₃~c	GIR₃~c
GIR₃~c×KAR₂	|GIR₃~c×KAR₂|
GIR₃~c×ŠE₃	|GIR₃~c×ŠE₃|
GIR₄	GIR₄
GISAL~a	GISAL~a
GISAL~b	GISAL~b
GIZZAL~x	GIZZAL~x
GI×1(N14)	|GI×1(N14)|
GI×1(N58)@t	|GI×1(N58)@t|
GI×GIŠ@t	|GI×GIŠ@t|
GI×KU~b1	|GI×KU~b1|
GI×LAGAB~a	|GI×LAGAB~a|
GI×NAM₂	|GI×NAM₂|
GI×SIG₂~d1	|GI×SIG₂~d1|
GI×X	|GI×X|
GI×ŠE₃	|GI×ŠE₃|
GIŠ	GIŠ
GIŠ.TE	|GIŠ.TE|
GIŠ@t	GIŠ@t
GIŠ@t.E₂~a	|GIŠ@t.E₂~a|
GIŠGAL	GIŠGAL
GIŠIMMAR~a1	GIŠIMMAR~a1
GIŠIMMAR~a2	GIŠIMMAR~a2
GIŠIMMAR~a3	GIŠIMMAR~a3
GIŠIMMAR~b1	GIŠIMMAR~b1
GIŠIMMAR~b3	GIŠIMMAR~b3
GIŠ~x	GIŠ~x
GIŠ×ŠU₂~a	|GIŠ×ŠU₂~a|
GIŠ×ŠU₂~b	|GIŠ×ŠU₂~b|
GIŠ₃~a	GIŠ₃~a
GIŠ₃~a&GIŠ₃~a	|GIŠ₃~a&GIŠ₃~a|
GIŠ₃~b	GIŠ₃~b
GI₄~a	GI₄~a
GI₄~a&GI₄~a	|GI₄~a&GI₄~a|
GI₄~a×A	|GI₄~a×A|
GI₄~b	GI₄~b
GI₄~b&GI₄~b	|GI₄~b&GI₄~b|
GI₆	GI₆
GU	GU
GUB₃~a	GUB₃~a
GUB₃~b	GUB₃~b
GUB₃~c	GUB₃~c
GUB₃~d	GUB₃~d
GUG₂	GUG₂
GUG₂@t	GUG₂@t
GUG₂×SILA₃~a	|GUG₂×SILA₃~a|
GUG₂×TUR	|GUG₂×TUR|
GUG₂×ŠITA~a1	|GUG₂×ŠITA~a1|
GUKKAL~a	GUKKAL~a
GUKKAL~a.HI@g~a	|GUKKAL~a.HI@g~a|
GUKKAL~b	GUKKAL~b
GUKKAL~c	GUKKAL~c
GUKKAL~d	GUKKAL~d
GUL	GUL
GUM~a	GUM~a
GUM~b	GUM~b
GUM~b@n	GUM~b@n
GUN₃~a	GUN₃~a
GUN₃~b	GUN₃~b
GUR	GUR
GURUŠDA	GURUŠDA
GURUŠ~a	GURUŠ~a
GURUŠ~a×2(N14)	|GURUŠ~a×2(N14)|
GURUŠ~b	GURUŠ~b
GURUŠ~b×2(N14)	|GURUŠ~b×2(N14)|
GURUŠ~c×2(N14)	|GURUŠ~c×2(N14)|
GU₂	GU₂
GU₄	GU₄
GU₄.ZATU755~a	|GU₄.ZATU755~a|
GU₄@g	GU₄@g
GU₇	GU₇
HAL	HAL
HALUB	HALUB
HAŠHUR	HAŠHUR
HAŠHUR×MA	|HAŠHUR×MA|
HI	HI
HI.SUHUR	|HI.SUHUR|
HI@g~a	HI@g~a
HI@g~b	HI@g~b
HI@g~c	HI@g~c
HI×1(N01)F	|HI×1(N01)F|
HI×1(N57)	|HI×1(N57)|
HI×1(N57)@t	|HI×1(N57)@t|
HI×1(N58)	|HI×1(N58)|
HI×LAGAB~a	|HI×LAGAB~a|
HI×ZATU707~a	|HI×ZATU707~a|
HI×ŠE₃@t	|HI×ŠE₃@t|
HUB₂	HUB₂
I	I
IB~a	IB~a
IB~a@n	IB~a@n
IB~b	IB~b
IDIGNA	IDIGNA
IGI	IGI
IG~a	IG~a
IG~b	IG~b
IL	IL
ILDUM~a	ILDUM~a
ILDUM~b	ILDUM~b
IM~a	IM~a
IM~a@g	IM~a@g
IM~b	IM~b
IN~b	IN~b
IN~d	IN~d
IRHAN	IRHAN
IR~a	IR~a
IR~a.GA₂~a1	|IR~a.GA₂~a1|
IR~b	IR~b
IR~c	IR~c
IR~d	IR~d
IR₁₁	IR₁₁
IŠ~a	IŠ~a
IŠ~b	IŠ~b
IŠ~c	IŠ~c
KAB	KAB
KAB×1(N58)	|KAB×1(N58)|
KAD₄~a	KAD₄~a
KAD₄~b	KAD₄~b
KAD₄~c1	KAD₄~c1
KAD₄~c2	KAD₄~c2
KAK~a	KAK~a
KAK~a.GA₂~a1	|KAK~a.GA₂~a1|
KAK~b	KAK~b
KALAM~a	KALAM~a
KALAM~b	KALAM~b
KALAM~c	KALAM~c
KALAM~d	KALAM~d
KALAM~e	KALAM~e
KALAM~f	KALAM~f
KAL~a	KAL~a
KAL~b1	KAL~b1
KAL~b2	KAL~b2
KAR	KAR
KAR₂~a	KAR₂~a
KAR₂~b	KAR₂~b
KASKAL	KASKAL
KASKAL@g	KASKAL@g
KA~a	KA~a
KA~a.ŠE~a	|KA~a.ŠE~a|
KA~a×SAR~a	|KA~a×SAR~a|
KAŠ~a	KAŠ~a
KAŠ~b	KAŠ~b
KAŠ~b@t	KAŠ~b@t
KAŠ~b×ŠE~a	|KAŠ~b×ŠE~a|
KAŠ~c	KAŠ~c
KAŠ~d	KAŠ~d
KA₂~a	KA₂~a
KA₂~b	KA₂~b
KA₂~c	KA₂~c
KA₂~d	KA₂~d
KA₂×LAM	|KA₂×LAM|
KEŠ₂	KEŠ₂
KI	KI
KI@n	KI@n
KI@n×DUB~a	|KI@n×DUB~a|
KIB	KIB
KIB@g	KIB@g
KID~a	KID~a
KID~b	KID~b
KID~c	KID~c
KID~d	KID~d
KID~e	KID~e
KIN	KIN
KINGAL	KINGAL
KIN₂~a	KIN₂~a
KIN₂~c	KIN₂~c
KIN₂~d	KIN₂~d
KIN₂~e	KIN₂~e
KIR₁₁	KIR₁₁
KISAL~a1	KISAL~a1
KISAL~a2	KISAL~a2
KISAL~b1	KISAL~b1
KISAL~b2	KISAL~b2
KISAL~b2@t	KISAL~b2@t
KISAL~b3	KISAL~b3
KISIM~a	KISIM~a
KISIM~b	KISIM~b
KISIM~c	KISIM~c
KITI	KITI
KIŠ	KIŠ
KIŠIK~a	KIŠIK~a
KIŠIK~b	KIŠIK~b
KUN	KUN
KUR@g~a	KUR@g~a
KUR@g~b	KUR@g~b
KUR~a	KUR~a
KUR~a.E₂~a	|KUR~a.E₂~a|
KUR~a.NUNUZ~a1	|KUR~a.NUNUZ~a1|
KUR~b	KUR~b
KUR~b.E₂~a	|KUR~b.E₂~a|
KUR~c	KUR~c
KUR~d	KUR~d
KU~a	KU~a
KU~a@t	KU~a@t
KU~b1	KU~b1
KU~b2	KU~b2
KUŠU₂~a	KUŠU₂~a
KUŠU₂~b	KUŠU₂~b
KUŠU₂~c	KUŠU₂~c
KUŠU₂~d	KUŠU₂~d
KUŠU₂~e	KUŠU₂~e
KUŠU₂~f	KUŠU₂~f
KU₃~a	KU₃~a
KU₃~c	KU₃~c
KU₆~a	KU₆~a
KU₆~a+GIŠ	|KU₆~a+GIŠ|
KU₆~a+KU₆~a	|KU₆~a+KU₆~a|
KU₆~a.1(N02)	|KU₆~a.1(N02)|
KU₆~a@s	KU₆~a@s
KU₆~c	KU₆~c
KU₆~d	KU₆~d
LAGAB~a	LAGAB~a
LAGAB~a×(KU₆~a+KU₆~a)	|LAGAB~a×(KU₆~a+KU₆~a)|
LAGAB~a×2(N14)	|LAGAB~a×2(N14)|
LAGAB~a×BA	|LAGAB~a×BA|
LAGAB~a×BIR₃~b	|LAGAB~a×BIR₃~b|
LAGAB~a×DU₆~b	|LAGAB~a×DU₆~b|
LAGAB~a×KAK~a	|LAGAB~a×KAK~a|
LAGAB~a×KUŠU₂~b	|LAGAB~a×KUŠU₂~b|
LAGAB~a×KU₆~a	|LAGAB~a×KU₆~a|
LAGAB~a×LAGAB~a	|LAGAB~a×LAGAB~a|
LAGAB~a×ME~a	|LAGAB~a×ME~a|
LAGAB~a×NUN~b	|LAGAB~a×NUN~b|
LAGAB~a×PA~a	|LAGAB~a×PA~a|
LAGAB~a×SI	|LAGAB~a×SI|
LAGAB~a×SIG₇	|LAGAB~a×SIG₇|
LAGAB~a×SU~a	|LAGAB~a×SU~a|
LAGAB~a×TI	|LAGAB~a×TI|
LAGAB~a×UB	|LAGAB~a×UB|
LAGAB~a×U₄	|LAGAB~a×U₄|
LAGAB~a×X	|LAGAB~a×X|
LAGAB~a×ZATU753	|LAGAB~a×ZATU753|
LAGAB~a×ŠA	|LAGAB~a×ŠA|
LAGAB~a×ŠITA~a1	|LAGAB~a×ŠITA~a1|
LAGAB~b	LAGAB~b
LAGAB~b×1(N01)	|LAGAB~b×1(N01)|
LAGAB~b×BANŠUR~a	|LAGAB~b×BANŠUR~a|
LAGAB~b×GAʾAR~a1	|LAGAB~b×GAʾAR~a1|
LAGAB~b×HI	|LAGAB~b×HI|
LAGAB~b×KUR~e	|LAGAB~b×KUR~e|
LAGAB~b×LAGAB~b	|LAGAB~b×LAGAB~b|
LAGAB~b×PA~a	|LAGAB~b×PA~a|
LAGAB~b×SI	|LAGAB~b×SI|
LAGAB~b×SUH₃	|LAGAB~b×SUH₃|
LAGAB~b×U₄	|LAGAB~b×U₄|
LAGAB~b×X	|LAGAB~b×X|
LAGAB~b×ŠITA~c	|LAGAB~b×ŠITA~c|
LAGAR~a	LAGAR~a
LAGAR~a@r	LAGAR~a@r
LAGAR~b1	LAGAR~b1
LAGAR~b2	LAGAR~b2
LAGAR~c	LAGAR~c
LAHTAN₂	LAHTAN₂
LAK025	LAK025
LAK050	LAK050
LAK172	LAK172
LAK251	LAK251
LAK350	LAK350
LAK777	LAK777
LAL₂~a	LAL₂~a
LAL₂~a×EZEN~a	|LAL₂~a×EZEN~a|
LAL₂~a×NIM~b2	|LAL₂~a×NIM~b2|
LAL₂~b	LAL₂~b
LAL₃~a	LAL₃~a
LAL₃~b	LAL₃~b
LAL₃~c	LAL₃~c
LAM~a	LAM~a
LAM~b	LAM~b
LAM~b@r	LAM~b@r
LAM~b@s	LAM~b@s
LAM~b@t	LAM~b@t
LAM~c	LAM~c
LA~b	LA~b
LA~c	LA~c
LA~d	LA~d
LA~e	LA~e
LA₂	LA₂
LI	LI
LIŠ	LIŠ
LUGAL	LUGAL
LUM	LUM
LU₂	LU₂
LU₂@t	LU₂@t
LU₂×GEŠTU~c3	|LU₂×GEŠTU~c3|
MA	MA
MAGUR~a	MAGUR~a
MAGUR~b	MAGUR~b
MAH~a	MAH~a
MAH~a×(SILA₃~a×UMBIN~a)	|MAH~a×(SILA₃~a×UMBIN~a)|
MAH~a×AB₂	|MAH~a×AB₂|
MAH~a×GUKKAL~a	|MAH~a×GUKKAL~a|
MAH~a×KU₆~a	|MAH~a×KU₆~a|
MAH~a×MAŠ	|MAH~a×MAŠ|
MAH~a×NA~a	|MAH~a×NA~a|
MAH~a×TUG₂~a	|MAH~a×TUG₂~a|
MAH~a×UDU~a	|MAH~a×UDU~a|
MAH~a×UD₅~a	|MAH~a×UD₅~a|
MAH~a×UR~a	|MAH~a×UR~a|
MAH~a×UTUA~a	|MAH~a×UTUA~a|
MAH~a×X	|MAH~a×X|
MAH~a×ZATU659	|MAH~a×ZATU659|
MAH~b	MAH~b
MAH~b×KU₆~a	|MAH~b×KU₆~a|
MAH~b×MAŠ	|MAH~b×MAŠ|
MAH~b×NA~a	|MAH~b×NA~a|
MAH~b×SAL	|MAH~b×SAL|
MAR~a	MAR~a
MAR~a@t	MAR~a@t
MAR~b	MAR~b
MAR~b×(LAGAB~b.ŠE₃)	|MAR~b×(LAGAB~b.ŠE₃)|
MAR~b×X	|MAR~b×X|
MAR~b×ŠE~a	|MAR~b×ŠE~a|
MA×1(N58)	|MA×1(N58)|
MA×2(N57)	|MA×2(N57)|
MA×A	|MA×A|
MA×MA	|MA×MA|
MA×X	|MA×X|
MAŠ	MAŠ
MAŠ₂	MAŠ₂
MAŠ₂@g	MAŠ₂@g
MA₂	MA₂
MEN~a	MEN~a
MEN~b	MEN~b
MES	MES
ME~a	ME~a
ME~b	ME~b
ME₃	ME₃
MIR~a	MIR~a
MIR~b	MIR~b
MU	MU
MUD	MUD
MUD₃~a	MUD₃~a
MUD₃~a@g	MUD₃~a@g
MUD₃~a@g×GU	|MUD₃~a@g×GU|
MUD₃~b	MUD₃~b
MUD₃~c	MUD₃~c
MUD₃~d	MUD₃~d
MUL	MUL
MUNU₃	MUNU₃
MUN~a1	MUN~a1
MUN~a2	MUN~a2
MUN~a3	MUN~a3
MUN~a4	MUN~a4
MUN~b	MUN~b
MUNŠUB~a	MUNŠUB~a
MUNŠUB~b	MUNŠUB~b
MURUB₂	MURUB₂
MUŠ	MUŠ
MUŠEN	MUŠEN
MUŠEN.UR₃~b2	|MUŠEN.UR₃~b2|
MUŠEN×1(N57)	|MUŠEN×1(N57)|
MUŠEN×2(N57)	|MUŠEN×2(N57)|
MUŠEN×3(N57)	|MUŠEN×3(N57)|
MUŠEN×PAP~a	|MUŠEN×PAP~a|
MUŠEN×X	|MUŠEN×X|
MUŠ₃~a	MUŠ₃~a
MUŠ₃~a@g	MUŠ₃~a@g
MUŠ₃~b	MUŠ₃~b
NAB	NAB
NAGAR~a	NAGAR~a
NAGAR~b	NAGAR~b
NAGA~a	NAGA~a
NAGA~a×TAK₄~a	|NAGA~a×TAK₄~a|
NAGA~b	NAGA~b
NAMEŠDA	NAMEŠDA
NAM~a	NAM~a
NAM~b	NAM~b
NAM~c	NAM~c
NAM~d	NAM~d
NAM₂	NAM₂
NAM₂@g	NAM₂@g
NAM₂@t	NAM₂@t
NAM₂×1(N01)	|NAM₂×1(N01)|
NANNA~a	NANNA~a
NANNA~b	NANNA~b
NANŠE~a	NANŠE~a
NANŠE~b	NANŠE~b
NAR	NAR
NA~a	NA~a
NA~b	NA~b
NA~c	NA~c
NA~d	NA~d
NA₂~a	NA₂~a
NA₂~b1	NA₂~b1
NA₂~b2	NA₂~b2
NERGAL~x	NERGAL~x
NESAG₂~a	NESAG₂~a
NESAG₂~b	NESAG₂~b
NESAG₂~b@t	NESAG₂~b@t
NE~a	NE~a
NE~b	NE~b
NE~c	NE~c
NE~d	NE~d
NIGIN	NIGIN
NIMGIR	NIMGIR
NIM~a	NIM~a
NIM~b1	NIM~b1
NIM~b2	NIM~b2
NIM~b3	NIM~b3
NIN	NIN
NINDA₂	NINDA₂
NINDA₂×((UDU~a×TAR)~a)	|NINDA₂×((UDU~a×TAR)~a)|
NINDA₂×(AN.HI)	|NINDA₂×(AN.HI)|
NINDA₂×(AN.ME~a)	|NINDA₂×(AN.ME~a)|
NINDA₂×(AN.X)	|NINDA₂×(AN.X)|
NINDA₂×(GIŠ.DAR~a)	|NINDA₂×(GIŠ.DAR~a)|
NINDA₂×(HI.AN.ME~a)	|NINDA₂×(HI.AN.ME~a)|
NINDA₂×(HI.ME~a)	|NINDA₂×(HI.ME~a)|
NINDA₂×(HI.X)	|NINDA₂×(HI.X)|
NINDA₂×(HI@g~a.1(N06))	|NINDA₂×(HI@g~a.1(N06))|
NINDA₂×(U₄.X)	|NINDA₂×(U₄.X)|
NINDA₂×(X.MAŠ)	|NINDA₂×(X.MAŠ)|
NINDA₂×(ZATU659×1(N01))	|NINDA₂×(ZATU659×1(N01))|
NINDA₂×1(N01)	|NINDA₂×1(N01)|
NINDA₂×1(N06)	|NINDA₂×1(N06)|
NINDA₂×1(N08)	|NINDA₂×1(N08)|
NINDA₂×2(N01)	|NINDA₂×2(N01)|
NINDA₂×AN	|NINDA₂×AN|
NINDA₂×BA	|NINDA₂×BA|
NINDA₂×EZEN~b	|NINDA₂×EZEN~b|
NINDA₂×GAR	|NINDA₂×GAR|
NINDA₂×GAʾAR~a1	|NINDA₂×GAʾAR~a1|
NINDA₂×GIŠ	|NINDA₂×GIŠ|
NINDA₂×GUDU₄	|NINDA₂×GUDU₄|
NINDA₂×GU₄	|NINDA₂×GU₄|
NINDA₂×HI	|NINDA₂×HI|
NINDA₂×KAŠ~b	|NINDA₂×KAŠ~b|
NINDA₂×MAR~b	|NINDA₂×MAR~b|
NINDA₂×NE~a	|NINDA₂×NE~a|
NINDA₂×U₄	|NINDA₂×U₄|
NINDA₂×X	|NINDA₂×X|
NINDA₂×ŠIM~a	|NINDA₂×ŠIM~a|
NINKUM	NINKUM
NINLIL	NINLIL
NIR~a	NIR~a
NIR~a×AN	|NIR~a×AN|
NIR~b	NIR~b
NI~a	NI~a
NI~a.RU	|NI~a.RU|
NI~a@g	NI~a@g
NI~a×1(N57)	|NI~a×1(N57)|
NI~b	NI~b
NI~b×4(N57)	|NI~b×4(N57)|
NI~b×X	|NI~b×X|
NI₂	NI₂
NU	NU
NU@g	NU@g
NUMUN	NUMUN
NUMUN₂	NUMUN₂
NUNUZ~a0	NUNUZ~a0
NUNUZ~a1	NUNUZ~a1
NUNUZ~a1@t	NUNUZ~a1@t
NUNUZ~a2	NUNUZ~a2
NUNUZ~b1	NUNUZ~b1
NUNUZ~b2	NUNUZ~b2
NUNUZ~c	NUNUZ~c
NUN~a	NUN~a
NUN~a+A	|NUN~a+A|
NUN~a+EN~a	|NUN~a+EN~a|
NUN~a+EN~b	|NUN~a+EN~b|
NUN~a+EN~d	|NUN~a+EN~d|
NUN~a+NAM₂	|NUN~a+NAM₂|
NUN~b	NUN~b
NUN~b+EN~a	|NUN~b+EN~a|
NUN~c	NUN~c
NUN~d	NUN~d
NU₁₁	NU₁₁
NU₁₁&NU₁₁	|NU₁₁&NU₁₁|
NU₁₁@t	NU₁₁@t
PAD~a	PAD~a
PAD~b	PAD~b
PAP~a	PAP~a
PAP~a@t	PAP~a@t
PAP~b	PAP~b
PA~a	PA~a
PA~b	PA~b
PA₃	PA₃
PIRIG~a1	PIRIG~a1
PIRIG~a2	PIRIG~a2
PIRIG~a3	PIRIG~a3
PIRIG~b1	PIRIG~b1
PIRIG~b1×UR₂	|PIRIG~b1×UR₂|
PIRIG~b2	PIRIG~b2
PU₂	PU₂
RA	RA
RAD~a	RAD~a
RAD~a@g	RAD~a@g
RAD~a@t	RAD~a@t
RAD~b	RAD~b
RI	RI
RI~x	RI~x
RI₈~a	RI₈~a
RI₈~b	RI₈~b
RU	RU
RU@t	RU@t
SAG	SAG
SAG@g	SAG@g
SAG@n	SAG@n
SAG×1(N14)	|SAG×1(N14)|
SAG×GEŠTU~a	|SAG×GEŠTU~a|
SAG×GEŠTU~b	|SAG×GEŠTU~b|
SAG×GEŠTU~c	|SAG×GEŠTU~c|
SAG×LAM~c	|SAG×LAM~c|
SAG×MA	|SAG×MA|
SAG×SAR~a	|SAG×SAR~a|
SAGŠU	SAGŠU
SAL	SAL
SAL.KUR~a	|SAL.KUR~a|
SAL.LAM~b	|SAL.LAM~b|
SAL.ŠU₂	|SAL.ŠU₂|
SAL×1(N58)	|SAL×1(N58)|
SANGA~a	SANGA~a
SANGA~b	SANGA~b
SANGA~c	SANGA~c
SAR~a	SAR~a
SAR~a×ŠE~a	|SAR~a×ŠE~a|
SAR~b	SAR~b
SAR~c	SAR~c
SA~a	SA~a
SA~c	SA~c
SI	SI
SIG	SIG
SIG×1(N57)	|SIG×1(N57)|
SIG₂~a1	SIG₂~a1
SIG₂~a2	SIG₂~a2
SIG₂~a3	SIG₂~a3
SIG₂~a4	SIG₂~a4
SIG₂~b	SIG₂~b
SIG₂~b.SIG₂~b	|SIG₂~b.SIG₂~b|
SIG₂~b×1(N14)	|SIG₂~b×1(N14)|
SIG₂~c1	SIG₂~c1
SIG₂~c2	SIG₂~c2
SIG₂~d1	SIG₂~d1
SIG₂~d2	SIG₂~d2
SIG₂~d3	SIG₂~d3
SIG₂~d4	SIG₂~d4
SIG₂~e	SIG₂~e
SIG₄	SIG₄
SIG₇	SIG₇
SIKIL	SIKIL
SILANITA	SILANITA
SILA₃~a	SILA₃~a
SILA₃~a×(ZATU659.TU~c)	|SILA₃~a×(ZATU659.TU~c)|
SILA₃~a×1(N57)	|SILA₃~a×1(N57)|
SILA₃~a×1(N58)	|SILA₃~a×1(N58)|
SILA₃~a×A	|SILA₃~a×A|
SILA₃~a×AMAR	|SILA₃~a×AMAR|
SILA₃~a×DUG~a	|SILA₃~a×DUG~a|
SILA₃~a×DUG~b	|SILA₃~a×DUG~b|
SILA₃~a×GARA₂~a	|SILA₃~a×GARA₂~a|
SILA₃~a×GA~a	|SILA₃~a×GA~a|
SILA₃~a×GEŠTU~a	|SILA₃~a×GEŠTU~a|
SILA₃~a×GEŠTU~c3	|SILA₃~a×GEŠTU~c3|
SILA₃~a×GEŠTU~c5	|SILA₃~a×GEŠTU~c5|
SILA₃~a×HAŠHUR	|SILA₃~a×HAŠHUR|
SILA₃~a×HI	|SILA₃~a×HI|
SILA₃~a×HI@g~a	|SILA₃~a×HI@g~a|
SILA₃~a×IB~a	|SILA₃~a×IB~a|
SILA₃~a×KAŠ~a	|SILA₃~a×KAŠ~a|
SILA₃~a×KAŠ~c	|SILA₃~a×KAŠ~c|
SILA₃~a×KAŠ~d	|SILA₃~a×KAŠ~d|
SILA₃~a×KUR~a	|SILA₃~a×KUR~a|
SILA₃~a×KU₆~a	|SILA₃~a×KU₆~a|
SILA₃~a×MA	|SILA₃~a×MA|
SILA₃~a×MAŠ	|SILA₃~a×MAŠ|
SILA₃~a×NAGA~a	|SILA₃~a×NAGA~a|
SILA₃~a×NI~a	|SILA₃~a×NI~a|
SILA₃~a×NUN~b	|SILA₃~a×NUN~b|
SILA₃~a×SUHUR	|SILA₃~a×SUHUR|
SILA₃~a×SUM~a	|SILA₃~a×SUM~a|
SILA₃~a×SUM~b	|SILA₃~a×SUM~b|
SILA₃~a×X	|SILA₃~a×X|
SILA₃~a×ZATU629	|SILA₃~a×ZATU629|
SILA₃~a×ZATU646	|SILA₃~a×ZATU646|
SILA₃~a×ŠE~a	|SILA₃~a×ŠE~a|
SILA₃~a×ŠE~a@t	|SILA₃~a×ŠE~a@t|
SILA₃~a×ŠU	|SILA₃~a×ŠU|
SILA₃~a×ŠU₂	|SILA₃~a×ŠU₂|
SILA₃~b	SILA₃~b
SILA₃~b×DUG~a	|SILA₃~b×DUG~a|
SILA₃~b×GUG₂	|SILA₃~b×GUG₂|
SILA₃~b×NAGA~b	|SILA₃~b×NAGA~b|
SILA₃~b×NI~a	|SILA₃~b×NI~a|
SILA₃~b×NI~b	|SILA₃~b×NI~b|
SILA₃~c	SILA₃~c
SILA₃~c×ZATU687	|SILA₃~c×ZATU687|
SILA₃~c×ŠU	|SILA₃~c×ŠU|
SILA₃~d×NI~a	|SILA₃~d×NI~a|
SILA₄~a	SILA₄~a
SILA₄~b	SILA₄~b
SILA₄~c	SILA₄~c
SILA₄~d	SILA₄~d
SIMUG	SIMUG
SIPA	SIPA
SI×GU₄	|SI×GU₄|
SI×ŠE₃	|SI×ŠE₃|
SI₄~a	SI₄~a
SI₄~b	SI₄~b
SI₄~c	SI₄~c
SI₄~d	SI₄~d
SI₄~f	SI₄~f
SUG	SUG
SUG₅	SUG₅
SUHUR	SUHUR
SUHUR@g	SUHUR@g
SUHUR@n	SUHUR@n
SUH₃	SUH₃
SUKKAL	SUKKAL
SUKUD	SUKUD
SUKUD@g~a	SUKUD@g~a
SUKUD@g~b	SUKUD@g~b
SUKUD@g~c	SUKUD@g~c
SUKUD@g~d	SUKUD@g~d
SUMAŠ	SUMAŠ
SUM~a	SUM~a
SUM~a@t	SUM~a@t
SUM~b	SUM~b
SUR	SUR
SUSA	SUSA
SU~a	SU~a
SU~a×1(N58)	|SU~a×1(N58)|
SU~b	SU~b
SU₃	SU₃
TAG~a1	TAG~a1
TAG~a1@t	TAG~a1@t
TAG~a2	TAG~a2
TAG~a3	TAG~a3
TAG~a4	TAG~a4
TAG~b	TAG~b
TAG~c	TAG~c
TAG~d	TAG~d
TAK₄~a	TAK₄~a
TAK₄~a@n	TAK₄~a@n
TAK₄~c	TAK₄~c
TAR~a	TAR~a
TAR~d	TAR~d
TA~a	TA~a
TA~b	TA~b
TA~c	TA~c
TA~d	TA~d
TA~d×MAŠ	|TA~d×MAŠ|
TA~e	TA~e
TA~f	TA~f
TE	TE
TI	TI
TI@g	TI@g
TI@r	TI@r
TI@t	TI@t
TIDNUM	TIDNUM
TILLA₂	TILLA₂
TUG₂~a	TUG₂~a
TUG₂~a.(BAD&BAD)	|TUG₂~a.(BAD&BAD)|
TUG₂~a@g	TUG₂~a@g
TUG₂~b	TUG₂~b
TUG₂~c	TUG₂~c
TUG₂~d	TUG₂~d
TUM~a	TUM~a
TUM~a@g	TUM~a@g
TUM~b	TUM~b
TUM~c	TUM~c
TUM~d	TUM~d
TUN₃~a	TUN₃~a
TUN₃~b	TUN₃~b
TUN₃~c	TUN₃~c
TUR	TUR
TUR@g	TUR@g
TUR×X	|TUR×X|
TUR₃~a	TUR₃~a
TUR₃~a@n	TUR₃~a@n
TUR₃~b	TUR₃~b
TUR₃~b×TAK₄~a	|TUR₃~b×TAK₄~a|
TUR₃~c	TUR₃~c
TU~a	TU~a
TU~b	TU~b
TU~c	TU~c
UB	UB
UBI~a	UBI~a
UBI~c	UBI~c
UDUNITA~a	UDUNITA~a
UDUNITA~b	UDUNITA~b
UDUNITA~c	UDUNITA~c
UDU~a	UDU~a
UDU~b	UDU~b
UDU~c	UDU~c
UD₅~a	UD₅~a
UD₅~a@g	UD₅~a@g
UD₅~b	UD₅~b
UD₅~c	UD₅~c
