WS	USN	MAP	SLSN	UHEX	UNAME
p	1(N05)		1(N05)	12631	CUNEIFORM NUMERIC SIGN ONE N05
p	2(N05)		2(N05)	12632	CUNEIFORM NUMERIC SIGN TWO N05
p	3(N05)		3(N05)	12633	CUNEIFORM NUMERIC SIGN THREE N05
p	4(N05)		4(N05)	12634	CUNEIFORM NUMERIC SIGN FOUR N05
p	5(N05)		5(N05)	12635	CUNEIFORM NUMERIC SIGN FIVE N05
p	1(N20)		1(N20)	12636	CUNEIFORM NUMERIC SIGN ONE N20
p	2(N20)		2(N20)	12637	CUNEIFORM NUMERIC SIGN TWO N20
p	3(N20)		3(N20)	12638	CUNEIFORM NUMERIC SIGN THREE N20
p	4(N20)		4(N20)	12639	CUNEIFORM NUMERIC SIGN FOUR N20
p	5(N20)		5(N20)	1263A	CUNEIFORM NUMERIC SIGN FIVE N20
p	6(N20)		6(N20)	1263B	CUNEIFORM NUMERIC SIGN SIX N20
p	7(N20)		7(N20)	1263C	CUNEIFORM NUMERIC SIGN SEVEN N20
p	8(N20)		8(N20)	1263D	CUNEIFORM NUMERIC SIGN EIGHT N20
p	9(N20)		9(N20)	1263E	CUNEIFORM NUMERIC SIGN NINE N20
p	1(N47)		1(N47)	1263F	CUNEIFORM NUMERIC SIGN ONE N47
p	2(N47)		2(N47)	12640	CUNEIFORM NUMERIC SIGN TWO N47
p	1(N37)		1(N37)	12641	CUNEIFORM NUMERIC SIGN ONE N37
p	2(N37)		2(N37)	12642	CUNEIFORM NUMERIC SIGN TWO N37
p	1(N09)		1(N09)	12643	CUNEIFORM NUMERIC SIGN ONE N09
p	1(N11)		1(N11)	12644	CUNEIFORM NUMERIC SIGN ONE N11
p	1(N12)		1(N12)	12645	CUNEIFORM NUMERIC SIGN ONE N12
p	1(N07A)		1(N07A)	12646	CUNEIFORM NUMERIC SIGN ONE N07A
p	2(N07A)		2(N07A)	12647	CUNEIFORM NUMERIC SIGN TWO N07A
p	3(N07A)		3(N07A)	12648	CUNEIFORM NUMERIC SIGN THREE N07A
p	1(N07B)		1(N07B)	12649	CUNEIFORM NUMERIC SIGN ONE N07B
p	2(N07B)		2(N07B)	1264A	CUNEIFORM NUMERIC SIGN TWO N07B
p	3(N07B)		3(N07B)	1264B	CUNEIFORM NUMERIC SIGN THREE N07B
p	1(N01@f)		1(N01@f)	1264C	CUNEIFORM NUMERIC SIGN ONE N01 FLAT
p	2(N01@f)		2(N01@f)	1264D	CUNEIFORM NUMERIC SIGN TWO N01 FLAT
p	3(N01@f)		3(N01@f)	1264E	CUNEIFORM NUMERIC SIGN THREE N01 FLAT
p	4(N01@f)		4(N01@f)	1264F	CUNEIFORM NUMERIC SIGN FOUR N01 FLAT
p	5(N01@f)		5(N01@f)	12650	CUNEIFORM NUMERIC SIGN FIVE N01 FLAT
p	6(N01@f)		6(N01@f)	12651	CUNEIFORM NUMERIC SIGN SIX N01 FLAT
p	7(N01@f)		7(N01@f)	12652	CUNEIFORM NUMERIC SIGN SEVEN N01 FLAT
p	8(N01@f)		8(N01@f)	12653	CUNEIFORM NUMERIC SIGN EIGHT N01 FLAT
p	9(N01@f)		9(N01@f)	12654	CUNEIFORM NUMERIC SIGN NINE N01 FLAT
p	1(N08@f)		1(N08@f)	12655	CUNEIFORM NUMERIC SIGN ONE N08 FLAT
p	1(N14@f)		1(N14@f)	12656	CUNEIFORM NUMERIC SIGN ONE N14 FLAT
p	2(N14@f)		2(N14@f)	12657	CUNEIFORM NUMERIC SIGN TWO N14 FLAT
p	3(N14@f)		3(N14@f)	12658	CUNEIFORM NUMERIC SIGN THREE N14 FLAT
p	4(N14@f)		4(N14@f)	12659	CUNEIFORM NUMERIC SIGN FOUR N14 FLAT
p	5(N14@f)		5(N14@f)	1265A	CUNEIFORM NUMERIC SIGN FIVE N14 FLAT
p	6(N14@f)		6(N14@f)	1265B	CUNEIFORM NUMERIC SIGN SIX N14 FLAT
p	7(N14@f)		7(N14@f)	1265C	CUNEIFORM NUMERIC SIGN SEVEN N14 FLAT
p	8(N14@f)		8(N14@f)	1265D	CUNEIFORM NUMERIC SIGN EIGHT N14 FLAT
p	9(N14@f)		9(N14@f)	1265E	CUNEIFORM NUMERIC SIGN NINE N14 FLAT
p	1(N34@f)		1(N34@f)	1265F	CUNEIFORM NUMERIC SIGN ONE N34 FLAT
p	2(N34@f)		2(N34@f)	12660	CUNEIFORM NUMERIC SIGN TWO N34 FLAT
p	3(N34@f)		3(N34@f)	12661	CUNEIFORM NUMERIC SIGN THREE N34 FLAT
p	4(N34@f)		4(N34@f)	12662	CUNEIFORM NUMERIC SIGN FOUR N34 FLAT
p	5(N34@f)		5(N34@f)	12663	CUNEIFORM NUMERIC SIGN FIVE N34 FLAT
p	6(N34@f)		6(N34@f)	12664	CUNEIFORM NUMERIC SIGN SIX N34 FLAT
p	7(N34@f)		7(N34@f)	12665	CUNEIFORM NUMERIC SIGN SEVEN N34 FLAT
p	8(N34@f)		8(N34@f)	12666	CUNEIFORM NUMERIC SIGN EIGHT N34 FLAT
p	9(N34@f)		9(N34@f)	12667	CUNEIFORM NUMERIC SIGN NINE N34 FLAT
p	1(N45@f)		1(N45@f)	12668	CUNEIFORM NUMERIC SIGN ONE N45 FLAT
p	2(N45@f)		2(N45@f)	12669	CUNEIFORM NUMERIC SIGN TWO N45 FLAT
p	1(N22@f)		1(N22@f)	1266A	CUNEIFORM NUMERIC SIGN ONE N22 FLAT
p	2(N22@f)		2(N22@f)	1266B	CUNEIFORM NUMERIC SIGN TWO N22 FLAT
p	1(N51@f)		1(N51@f)	1266C	CUNEIFORM NUMERIC SIGN ONE N51 FLAT
p	2(N51@f)		2(N51@f)	1266D	CUNEIFORM NUMERIC SIGN TWO N51 FLAT
p	3(N51@f)		3(N51@f)	1266E	CUNEIFORM NUMERIC SIGN THREE N51 FLAT
p	4(N51@f)		4(N51@f)	1266F	CUNEIFORM NUMERIC SIGN FOUR N51 FLAT
p	5(N51@f)		5(N51@f)	12670	CUNEIFORM NUMERIC SIGN FIVE N51 FLAT
p	6(N51@f)		6(N51@f)	12671	CUNEIFORM NUMERIC SIGN SIX N51 FLAT
p	7(N51@f)		7(N51@f)	12672	CUNEIFORM NUMERIC SIGN SEVEN N51 FLAT
p	8(N51@f)		8(N51@f)	12673	CUNEIFORM NUMERIC SIGN EIGHT N51 FLAT
p	9(N51@f)		9(N51@f)	12674	CUNEIFORM NUMERIC SIGN NINE N51 FLAT
